Date,day_opening_price,day_high,day_low,day_closing_price,day_trading_volume,ZERO_START_POINT,DAY_HIGH_vs_ZERO,DAY_LOW_vs_ZERO,DAY_CLOSE_vs_ZERO
17/02/2010,1096.14,1101.03,1094.72,1099.51,"4,259,230,000",0,4.89,-1.42,3.37
18/02/2010,1099.03,1108.24,1097.48,1106.75,"3,878,620,000",0,9.21,-1.55,7.72
19/02/2010,1105.49,1112.42,1100.8,1109.17,"3,944,280,000",0,6.93,-4.69,3.68
22/02/2010,1110,1112.29,1105.38,1108.01,"3,814,440,000",0,2.29,-4.62,-1.99
23/02/2010,1107.49,1108.58,1092.18,1094.6,"4,521,050,000",0,1.09,-15.31,-12.89
24/02/2010,1095.89,1106.42,1095.5,1105.24,"4,168,360,000",0,10.53,-0.39,9.35
25/02/2010,1101.24,1103.5,1086.02,1102.94,"4,521,130,000",0,2.26,-15.22,1.7
26/02/2010,1103.1,1107.24,1097.56,1104.49,"3,945,190,000",0,4.14,-5.54,1.39
01/03/2010,1105.36,1116.11,1105.36,1115.71,"3,847,640,000",0,10.75,0,10.35
02/03/2010,1117.01,1123.46,1116.51,1118.31,"4,134,680,000",0,6.45,-0.5,1.3
03/03/2010,1119.36,1125.64,1116.58,1118.79,"3,951,320,000",0,6.28,-2.78,-0.57
04/03/2010,1119.12,1123.73,1116.66,1122.97,"3,945,010,000",0,4.61,-2.46,3.85
05/03/2010,1125.12,1139.38,1125.12,1138.7,"4,133,000,000",0,14.26,0,13.58
